#,Entries,Last Submission UTC (Best − Last Submission),Score,Team Name  * in the money,slug,Δ1d,Δ1w,Δ5d
466.0,21.0,"Thu, 25 Aug 2016 15:41:39  (-10.9d)",0.990576,Raid Arfua,predicting-red-hat-business-value,,↓147,
467.0,20.0,"Thu, 08 Sep 2016 13:01:45  (-2d)",0.990567,sora,predicting-red-hat-business-value,,↑319,
468.0,8.0,"Fri, 09 Sep 2016 07:02:48",0.9905309999999999,KyleLee,predicting-red-hat-business-value,,new,
469.0,26.0,"Fri, 09 Sep 2016 09:02:58  (-1h)",0.990492,Charles ABEHSIRA,predicting-red-hat-business-value,,↑116,
470.0,15.0,"Fri, 09 Sep 2016 12:55:33  (-1h)",0.990489,Victor S D,predicting-red-hat-business-value,,↓108,
471.0,4.0,"Fri, 09 Sep 2016 15:18:34  (-26.7h)",0.990475,yi.chen,predicting-red-hat-business-value,,new,
472.0,10.0,"Fri, 19 Aug 2016 04:30:23",0.990468,Andrey Kiryasov,predicting-red-hat-business-value,,↓151,
473.0,15.0,"Thu, 25 Aug 2016 15:34:00  (-3.5d)",0.9904540000000001,hustmonk,predicting-red-hat-business-value,,↓151,
474.0,14.0,"Fri, 09 Sep 2016 06:22:58  (-6.2h)",0.990449,Sergey Kuznetsov,predicting-red-hat-business-value,,new,
475.0,9.0,"Thu, 08 Sep 2016 15:54:25  (-1.4h)",0.990368,Pierre Hangard,predicting-red-hat-business-value,,↓91,
476.0,12.0,"Mon, 05 Sep 2016 14:20:48",0.990358,Shim vui ann,predicting-red-hat-business-value,,new,
477.0,25.0,"Thu, 08 Sep 2016 04:04:35  (-7.6h)",0.9903489999999999,tanlikesmath,predicting-red-hat-business-value,,↓139,
478.0,17.0,"Fri, 09 Sep 2016 10:32:24",0.990291,adityasinha,predicting-red-hat-business-value,,new,
479.0,14.0,"Wed, 24 Aug 2016 08:47:46",0.9902860000000001,Anton Alexandrov,predicting-red-hat-business-value,,↓154,
480.0,18.0,"Fri, 09 Sep 2016 14:49:10  (-33.6h)",0.9902790000000001,tamori,predicting-red-hat-business-value,,↑658,
481.0,10.0,"Mon, 29 Aug 2016 09:51:54  (-1.1h)",0.9902639999999999,AdamKordeczka,predicting-red-hat-business-value,,↓155,
482.0,49.0,"Wed, 31 Aug 2016 20:39:05  (-9.2d)",0.9902620000000001,zxwq,predicting-red-hat-business-value,,↓155,
483.0,37.0,"Wed, 07 Sep 2016 10:04:28  (-8d)",0.990258,清蒸老虎头,predicting-red-hat-business-value,,↓155,
484.0,11.0,"Sun, 04 Sep 2016 15:16:38  (-0.5h)",0.990237,Bogdan Melnik,predicting-red-hat-business-value,,↑725,
485.0,50.0,"Fri, 09 Sep 2016 20:08:02  (-7.1d)",0.990232,Redouane Sassioui,predicting-red-hat-business-value,,↓156,
486.0,12.0,"Sat, 20 Aug 2016 12:16:04",0.9902280000000001,cash_FEG,predicting-red-hat-business-value,,↓156,
487.0,16.0,"Thu, 08 Sep 2016 18:26:28  (-27.7h)",0.990215,ziron,predicting-red-hat-business-value,,↑591,
488.0,86.0,"Fri, 09 Sep 2016 04:01:41",0.9902059999999999,Roland Luethy,predicting-red-hat-business-value,,↑102,
489.0,4.0,"Thu, 08 Sep 2016 08:56:19",0.9901989999999999,AlexTselikov,predicting-red-hat-business-value,,new,
490.0,52.0,"Thu, 08 Sep 2016 20:05:36  (-26.5h)",0.990186,Evdilos_Ikaria,predicting-red-hat-business-value,,↑175,
491.0,15.0,"Fri, 09 Sep 2016 18:38:05  (-2.3d)",0.9901780000000001,Ehsan,predicting-red-hat-business-value,,new,
492.0,34.0,"Wed, 24 Aug 2016 05:57:23  (-13.7h)",0.9901700000000001,daria,predicting-red-hat-business-value,,↓161,
493.0,9.0,"Thu, 08 Sep 2016 14:07:43",0.9901530000000001,Anil Kumar,predicting-red-hat-business-value,,↑225,
494.0,9.0,"Mon, 22 Aug 2016 14:47:03",0.990108,not_today,predicting-red-hat-business-value,,↓162,
495.0,12.0,"Tue, 06 Sep 2016 10:53:42  (-13.1d)",0.9901040000000001,AlbertoCastaño,predicting-red-hat-business-value,,↓162,
496.0,34.0,"Mon, 15 Aug 2016 18:32:16  (-8h)",0.990065,Fredrik Jonsson,predicting-red-hat-business-value,,↓161,
497.0,11.0,"Thu, 08 Sep 2016 23:50:23  (-17.2h)",0.9900370000000001,bangbangbear,predicting-red-hat-business-value,,new,
498.0,7.0,"Tue, 06 Sep 2016 20:49:52  (-2d)",0.989972,Robson,predicting-red-hat-business-value,,new,
499.0,12.0,"Mon, 05 Sep 2016 15:24:36  (-12.2h)",0.989965,farmi,predicting-red-hat-business-value,,new,
500.0,17.0,"Fri, 09 Sep 2016 16:01:48  (-4.3d)",0.9899540000000001,DIKKEBMW!  MartijnNanne  sietse mooren,predicting-red-hat-business-value,,↑89,
501.0,28.0,"Fri, 09 Sep 2016 00:02:31  (-0.3h)",0.989943,jlu-ucla,predicting-red-hat-business-value,,↑288,
502.0,4.0,"Sun, 28 Aug 2016 13:05:21",0.9899129999999999,Jakshere,predicting-red-hat-business-value,,↓166,
503.0,39.0,"Sat, 03 Sep 2016 15:01:48  (-19.1d)",0.9899129999999999,JESUS : Son of GOD,predicting-red-hat-business-value,,↓166,
504.0,12.0,"Fri, 09 Sep 2016 03:05:24  (-20.5h)",0.9899120000000001,GalinaTikhonova,predicting-red-hat-business-value,,new,
505.0,11.0,"Fri, 09 Sep 2016 02:31:53  (-5.6d)",0.9899,Li-Der,predicting-red-hat-business-value,,↑345,
506.0,33.0,"Fri, 09 Sep 2016 14:29:33  (-4.5d)",0.9898950000000001,TopSecret,predicting-red-hat-business-value,,↓129,
507.0,15.0,"Thu, 08 Sep 2016 02:07:08  (-20.4d)",0.9898879999999999,Nate Holland,predicting-red-hat-business-value,,↓168,
508.0,35.0,"Fri, 09 Sep 2016 20:28:01  (-4.5d)",0.989873,Tilfeldigskogsteamet  dmi3kno  ØysteinSchønning-Johansen,predicting-red-hat-business-value,,↓159,
509.0,15.0,"Sat, 27 Aug 2016 15:20:05  (-8.3d)",0.989866,cristianp,predicting-red-hat-business-value,,↓169,
510.0,9.0,"Mon, 15 Aug 2016 09:17:21  (-0.1h)",0.9898239999999999,BrianBigDataDemo,predicting-red-hat-business-value,,↓168,
511.0,6.0,"Thu, 08 Sep 2016 13:22:59  (-6.7h)",0.9898,PrakashSubedi,predicting-red-hat-business-value,,↑108,
512.0,61.0,"Fri, 09 Sep 2016 20:51:08  (-43.1h)",0.98979,Jolycrew,predicting-red-hat-business-value,,↓160,
513.0,16.0,"Thu, 08 Sep 2016 18:39:40  (-3.5d)",0.9897870000000001,starcrawler,predicting-red-hat-business-value,,↑1037,
514.0,16.0,"Sat, 03 Sep 2016 02:05:44  (-0.2h)",0.989701,SB,predicting-red-hat-business-value,,↓164,
515.0,22.0,"Fri, 09 Sep 2016 10:23:52  (-6h)",0.989699,Eran Aharonovich,predicting-red-hat-business-value,,new,
516.0,45.0,"Fri, 09 Sep 2016 19:16:22  (-18h)",0.9896719999999999,jeffd23,predicting-red-hat-business-value,,↑77,
517.0,10.0,"Wed, 07 Sep 2016 00:22:53  (-2.7h)",0.989669,Paul Williams,predicting-red-hat-business-value,,↑738,
518.0,19.0,"Fri, 02 Sep 2016 14:35:42  (-20.7h)",0.989655,Yorick,predicting-red-hat-business-value,,↓174,
519.0,25.0,"Tue, 23 Aug 2016 03:47:44  (-11.2d)",0.9896469999999999,SteveKane,predicting-red-hat-business-value,,↓174,
520.0,8.0,"Fri, 09 Sep 2016 19:11:04  (-13h)",0.9896440000000001,DreamTeam  alexandre  Peanuts,predicting-red-hat-business-value,,new,
521.0,4.0,"Thu, 08 Sep 2016 02:30:46  (-26.1d)",0.989591,Damian Mingle,predicting-red-hat-business-value,,↓175,
522.0,14.0,"Tue, 06 Sep 2016 12:15:23  (-2d)",0.989576,beyond,predicting-red-hat-business-value,,new,
523.0,10.0,"Wed, 17 Aug 2016 22:13:39  (-3.9d)",0.9895719999999999,Fred H Seymour,predicting-red-hat-business-value,,↓176,
524.0,114.0,"Fri, 09 Sep 2016 21:15:43  (-18.4d)",0.9895440000000001,kxx,predicting-red-hat-business-value,,↓176,
525.0,16.0,"Fri, 09 Sep 2016 05:36:29",0.9895370000000001,joostgp,predicting-red-hat-business-value,,↑618,
526.0,1.0,"Sat, 03 Sep 2016 23:23:27",0.9895290000000001,j,predicting-red-hat-business-value,,new,
527.0,22.0,"Mon, 05 Sep 2016 06:55:21  (-2.7d)",0.9895120000000001,ravenrevolver,predicting-red-hat-business-value,,↓176,
528.0,37.0,"Thu, 08 Sep 2016 08:31:16  (-20.9h)",0.9895120000000001,AnujChopra,predicting-red-hat-business-value,,↑12,
529.0,3.0,"Thu, 08 Sep 2016 18:04:37  (-18.3h)",0.98951,Chengcen,predicting-red-hat-business-value,,new,
530.0,18.0,"Wed, 07 Sep 2016 22:14:37  (-4.5h)",0.989507,agabara,predicting-red-hat-business-value,,↑780,
531.0,4.0,"Thu, 08 Sep 2016 19:36:15",0.989507,gp,predicting-red-hat-business-value,,new,
532.0,2.0,"Wed, 07 Sep 2016 13:14:20",0.989503,Corey Featherly,predicting-red-hat-business-value,,new,
533.0,16.0,"Fri, 19 Aug 2016 20:28:02  (-4.1d)",0.9894879999999999,JB,predicting-red-hat-business-value,,↓180,
534.0,58.0,"Fri, 09 Sep 2016 20:23:01  (-0.2h)",0.989432,Mehdi Pedram,predicting-red-hat-business-value,,↑13,
535.0,34.0,"Fri, 09 Sep 2016 11:01:38  (-2.2d)",0.9893209999999999,funkwecker,predicting-red-hat-business-value,,↑250,
536.0,6.0,"Sat, 27 Aug 2016 12:54:23  (-1.7h)",0.9892209999999999,Janek Berger,predicting-red-hat-business-value,,↓181,
537.0,7.0,"Sat, 03 Sep 2016 05:25:01",0.989186,protan,predicting-red-hat-business-value,,↑529,
538.0,10.0,"Mon, 05 Sep 2016 18:25:48  (-0.2h)",0.989185,Alexander Vikulin,predicting-red-hat-business-value,,↓177,
539.0,5.0,"Fri, 02 Sep 2016 11:59:02",0.989176,Evgenii Konev,predicting-red-hat-business-value,,↓183,
540.0,13.0,"Mon, 29 Aug 2016 14:42:04",0.9891639999999999,Alex Ozerov,predicting-red-hat-business-value,,↓183,
541.0,8.0,"Sun, 04 Sep 2016 13:12:55",0.9891200000000001,StuartAnderson,predicting-red-hat-business-value,,↓162,
542.0,31.0,"Tue, 16 Aug 2016 15:35:59  (-2.7d)",0.9891200000000001,haisland0909,predicting-red-hat-business-value,,↓183,
543.0,3.0,"Tue, 16 Aug 2016 05:53:01  (-1.3h)",0.9890950000000001,pringleslion,predicting-red-hat-business-value,,↓183,
544.0,15.0,"Fri, 09 Sep 2016 15:30:57  (-3d)",0.98908,gauravsharma,predicting-red-hat-business-value,,new,
545.0,10.0,"Wed, 31 Aug 2016 19:33:56  (-10.6d)",0.9889760000000001,MatthewZhou,predicting-red-hat-business-value,,↓182,
546.0,8.0,"Fri, 09 Sep 2016 21:28:46",0.988973,Yuyang Lao,predicting-red-hat-business-value,,new,
547.0,7.0,"Thu, 08 Sep 2016 13:04:36  (-15.5h)",0.988944,Tenich,predicting-red-hat-business-value,,new,
548.0,9.0,"Tue, 30 Aug 2016 21:57:23  (-10.9d)",0.988933,FNMining  Mailson Santos  Valter Eduardo,predicting-red-hat-business-value,,↓184,
549.0,69.0,"Thu, 08 Sep 2016 23:01:29  (-6.2d)",0.988914,Jorge Palma,predicting-red-hat-business-value,,↓184,
550.0,17.0,"Thu, 18 Aug 2016 10:19:30  (-0.6h)",0.988886,PiotrLewanda,predicting-red-hat-business-value,,↓184,
551.0,6.0,"Tue, 23 Aug 2016 20:41:16  (-0.1h)",0.988886,Gabdarab,predicting-red-hat-business-value,,↓184,
552.0,6.0,"Mon, 29 Aug 2016 15:12:26",0.9888399999999999,juekoe,predicting-red-hat-business-value,,↓184,
553.0,23.0,"Tue, 16 Aug 2016 02:02:30  (-3.9d)",0.9888170000000001,VSoni,predicting-red-hat-business-value,,↓184,
554.0,8.0,"Wed, 07 Sep 2016 02:54:13",0.988706,simontt19,predicting-red-hat-business-value,,↓184,
555.0,18.0,"Thu, 08 Sep 2016 02:20:28  (-3.1d)",0.988685,Brandon Shurick,predicting-red-hat-business-value,,↓183,
556.0,14.0,"Fri, 19 Aug 2016 05:11:29  (-22.1h)",0.988542,Lale,predicting-red-hat-business-value,,↓185,
557.0,10.0,"Thu, 08 Sep 2016 15:23:52  (-0.1h)",0.9885079999999999,Paritosh Gupta,predicting-red-hat-business-value,,new,
558.0,3.0,"Tue, 06 Sep 2016 16:28:25",0.988476,ManojBabu,predicting-red-hat-business-value,,new,
559.0,3.0,"Thu, 01 Sep 2016 02:21:33  (-0.3h)",0.988455,heimdallr,predicting-red-hat-business-value,,↓186,
560.0,7.0,"Fri, 09 Sep 2016 21:52:39  (-3.4d)",0.988408,bk20,predicting-red-hat-business-value,,new,
561.0,7.0,"Wed, 24 Aug 2016 14:39:20",0.988325,Pedro Pazzini,predicting-red-hat-business-value,,↓187,
562.0,7.0,"Fri, 09 Sep 2016 12:20:50",0.9883209999999999,Magic,predicting-red-hat-business-value,,↑21,
563.0,5.0,"Wed, 07 Sep 2016 22:17:18  (-0.1h)",0.988276,Antoleb,predicting-red-hat-business-value,,new,
564.0,5.0,"Tue, 23 Aug 2016 08:20:03",0.9882620000000001,DSXL,predicting-red-hat-business-value,,↓189,
565.0,2.0,"Fri, 09 Sep 2016 00:27:50",0.9882190000000001,.,predicting-red-hat-business-value,,new,
566.0,25.0,"Fri, 09 Sep 2016 08:31:07  (-0.3h)",0.9881469999999999,Scob,predicting-red-hat-business-value,,↑85,
567.0,7.0,"Mon, 29 Aug 2016 23:51:43",0.988028,nullglobber,predicting-red-hat-business-value,,↓189,
568.0,3.0,"Fri, 09 Sep 2016 17:36:16",0.9880260000000001,nnet,predicting-red-hat-business-value,,new,
569.0,12.0,"Fri, 09 Sep 2016 13:25:53",0.987943,Nikhil Yadav,predicting-red-hat-business-value,,new,
570.0,22.0,"Tue, 30 Aug 2016 13:08:10",0.9879370000000001,xyz,predicting-red-hat-business-value,,↓190,
571.0,16.0,"Wed, 07 Sep 2016 19:31:12  (-3.1d)",0.987772,abc,predicting-red-hat-business-value,,↓48,
572.0,2.0,"Mon, 05 Sep 2016 00:14:44",0.987772,FredR,predicting-red-hat-business-value,,new,
573.0,2.0,"Tue, 06 Sep 2016 09:50:01  (-0.4h)",0.987772,pyx_,predicting-red-hat-business-value,,new,
574.0,1.0,"Wed, 07 Sep 2016 23:02:30",0.987772,prashant bhowmik,predicting-red-hat-business-value,,new,
575.0,5.0,"Fri, 09 Sep 2016 15:47:08  (-0h)",0.987772,vind,predicting-red-hat-business-value,,↑803,
576.0,14.0,"Tue, 06 Sep 2016 20:44:40",0.987768,qqilihq,predicting-red-hat-business-value,,↑95,
577.0,42.0,"Fri, 09 Sep 2016 16:54:18  (-2.1d)",0.98775,Shayne Kang,predicting-red-hat-business-value,,↑44,
578.0,27.0,"Mon, 22 Aug 2016 00:55:15  (-45.3h)",0.9875959999999999,Shaayaan Sayed,predicting-red-hat-business-value,,↓196,
579.0,39.0,"Fri, 09 Sep 2016 08:28:51  (-2.9d)",0.9875780000000001,olivier,predicting-red-hat-business-value,,↑438,
580.0,3.0,"Sun, 21 Aug 2016 09:51:34",0.9875510000000001,Julian B,predicting-red-hat-business-value,,↓197,
581.0,16.0,"Fri, 09 Sep 2016 18:56:47  (-25.5h)",0.9874709999999999,competitor,predicting-red-hat-business-value,,new,
582.0,16.0,"Wed, 07 Sep 2016 18:31:07  (-0.1h)",0.987452,LazyKnight,predicting-red-hat-business-value,,↑128,
583.0,10.0,"Mon, 22 Aug 2016 17:59:51  (-5d)",0.9873959999999999,denti,predicting-red-hat-business-value,,↓198,
584.0,5.0,"Fri, 09 Sep 2016 19:39:28  (-8.2h)",0.9873719999999999,sara83,predicting-red-hat-business-value,,new,
585.0,23.0,"Tue, 09 Aug 2016 00:12:29  (-0.1h)",0.987358,Chris Caruso,predicting-red-hat-business-value,,↓199,
586.0,7.0,"Fri, 12 Aug 2016 02:49:59  (-0.7h)",0.987326,Dave Mullen,predicting-red-hat-business-value,,↓199,
587.0,9.0,"Fri, 19 Aug 2016 17:33:30",0.9873149999999999,KarthikVisweswariah,predicting-red-hat-business-value,,↓199,
588.0,6.0,"Fri, 09 Sep 2016 14:14:21  (-19.5h)",0.9872639999999999,nobits,predicting-red-hat-business-value,,new,
589.0,3.0,"Wed, 07 Sep 2016 18:11:04",0.98725,b.e.s.,predicting-red-hat-business-value,,new,
590.0,44.0,"Sat, 03 Sep 2016 21:35:30  (-3.1d)",0.987247,matt,predicting-red-hat-business-value,,↓200,
591.0,1.0,"Mon, 15 Aug 2016 07:49:41",0.987238,Martin Wistuba,predicting-red-hat-business-value,,↓200,
592.0,19.0,"Wed, 31 Aug 2016 10:32:21  (-11.8d)",0.9870979999999999,markoesa,predicting-red-hat-business-value,,↓200,
593.0,45.0,"Fri, 09 Sep 2016 13:41:10  (-6.3d)",0.9870559999999999,sarwi,predicting-red-hat-business-value,,↑41,
594.0,1.0,"Sat, 20 Aug 2016 17:00:57",0.9870459999999999,Jing Lu,predicting-red-hat-business-value,,↓200,
595.0,1.0,"Sat, 20 Aug 2016 21:43:23",0.9870459999999999,Cyrus,predicting-red-hat-business-value,,↓200,
596.0,11.0,"Mon, 22 Aug 2016 01:17:44",0.9870459999999999,lu yawen,predicting-red-hat-business-value,,↓200,
597.0,8.0,"Wed, 24 Aug 2016 03:25:53  (-27.4h)",0.9870459999999999,Pablo Torre,predicting-red-hat-business-value,,↓200,
598.0,3.0,"Fri, 09 Sep 2016 15:36:43",0.9870459999999999,Dileep Patchigolla,predicting-red-hat-business-value,,↑317,
599.0,1.0,"Sat, 03 Sep 2016 21:07:04",0.987031,Bcottman,predicting-red-hat-business-value,,new,
600.0,20.0,"Fri, 26 Aug 2016 11:32:12  (-14.9d)",0.987029,AnassAlouane,predicting-red-hat-business-value,,↓202,
601.0,1.0,"Thu, 11 Aug 2016 11:07:57",0.987028,kishore,predicting-red-hat-business-value,,↓202,
602.0,15.0,"Thu, 11 Aug 2016 11:42:00  (-0.2h)",0.987028,gand,predicting-red-hat-business-value,,↓202,
603.0,4.0,"Thu, 11 Aug 2016 11:44:43",0.987028,Insaf Ashrapov,predicting-red-hat-business-value,,↓202,
604.0,3.0,"Thu, 11 Aug 2016 12:03:17",0.987028,James Lawrence,predicting-red-hat-business-value,,↓202,
605.0,18.0,"Tue, 06 Sep 2016 13:34:08  (-26d)",0.987028,Gaurav Kumar Singh,predicting-red-hat-business-value,,↓202,
606.0,11.0,"Sat, 13 Aug 2016 08:42:36  (-42.7h)",0.987028,CAP Analytics  Valerio Capozio  Andrea_Capozio,predicting-red-hat-business-value,,↓202,
607.0,28.0,"Thu, 11 Aug 2016 14:08:33",0.987028,Nguyen Khanh,predicting-red-hat-business-value,,↓202,
608.0,5.0,"Thu, 11 Aug 2016 14:13:12",0.987028,RusX2  Antonina  parus,predicting-red-hat-business-value,,↓202,
609.0,3.0,"Thu, 11 Aug 2016 16:31:08  (-1.6h)",0.987028,Abhinav,predicting-red-hat-business-value,,↓202,
610.0,2.0,"Mon, 22 Aug 2016 21:16:29  (-11.2d)",0.987028,TheFiveHandle  Matt McDonald  Ed Hayes,predicting-red-hat-business-value,,↓202,
611.0,3.0,"Thu, 11 Aug 2016 15:40:45  (-0.3h)",0.987028,Alexander Minushkin,predicting-red-hat-business-value,,↓201,
612.0,9.0,"Sun, 14 Aug 2016 13:21:37  (-2.9d)",0.987028,lcsbny,predicting-red-hat-business-value,,↓201,
613.0,1.0,"Thu, 11 Aug 2016 15:53:12",0.987028,same human,predicting-red-hat-business-value,,↓201,
614.0,5.0,"Thu, 11 Aug 2016 16:09:50",0.987028,Yaroslav,predicting-red-hat-business-value,,↓201,
615.0,13.0,"Thu, 11 Aug 2016 16:30:57",0.987028,two deep to learn  uday1889  vasu,predicting-red-hat-business-value,,↓201,
616.0,5.0,"Thu, 11 Aug 2016 16:48:13  (-0.1h)",0.987028,Sharon,predicting-red-hat-business-value,,↓201,
617.0,7.0,"Thu, 11 Aug 2016 17:07:16",0.987028,aleino,predicting-red-hat-business-value,,↓201,
618.0,1.0,"Thu, 11 Aug 2016 21:18:16",0.987028,Bill Holst,predicting-red-hat-business-value,,↓201,
619.0,7.0,"Thu, 11 Aug 2016 23:29:18  (-0.3h)",0.987028,shan,predicting-red-hat-business-value,,↓201,
620.0,28.0,"Fri, 12 Aug 2016 00:16:40",0.987028,AdityaPadala,predicting-red-hat-business-value,,↓201,
621.0,1.0,"Fri, 12 Aug 2016 01:13:35",0.987028,Enhao Gong,predicting-red-hat-business-value,,↓201,
622.0,4.0,"Fri, 12 Aug 2016 01:36:18",0.987028,satishku,predicting-red-hat-business-value,,↓201,
623.0,13.0,"Thu, 18 Aug 2016 11:27:28  (-6.4d)",0.987028,IceBear,predicting-red-hat-business-value,,↓201,
624.0,4.0,"Fri, 12 Aug 2016 02:39:25  (-0.3h)",0.987028,Quincy,predicting-red-hat-business-value,,↓200,
625.0,1.0,"Fri, 12 Aug 2016 03:10:18",0.987028,Sergio Henrique,predicting-red-hat-business-value,,↓200,
626.0,30.0,"Fri, 12 Aug 2016 04:01:55  (-0.1h)",0.987028,Jason Noriega,predicting-red-hat-business-value,,↓200,
627.0,4.0,"Fri, 12 Aug 2016 04:01:58",0.987028,javawokr,predicting-red-hat-business-value,,↓200,
628.0,2.0,"Fri, 09 Sep 2016 05:31:43  (-28d)",0.987028,Jobil Louis,predicting-red-hat-business-value,,↓200,
629.0,7.0,"Fri, 12 Aug 2016 06:02:08",0.987028,Gidi Shperber,predicting-red-hat-business-value,,↓200,
630.0,1.0,"Fri, 12 Aug 2016 06:52:46",0.987028,fat elfos club,predicting-red-hat-business-value,,↓200,
631.0,9.0,"Wed, 17 Aug 2016 07:54:48  (-5d)",0.987028,lzhexp,predicting-red-hat-business-value,,↓200,
632.0,1.0,"Fri, 12 Aug 2016 07:17:57",0.987028,binary_zeitgeist,predicting-red-hat-business-value,,↓200,
633.0,4.0,"Sat, 20 Aug 2016 12:22:56  (-8.1d)",0.987028,TarKaushik,predicting-red-hat-business-value,,↓200,
634.0,5.0,"Fri, 12 Aug 2016 11:22:52  (-1.7h)",0.987028,VibhuGanesan,predicting-red-hat-business-value,,↓200,
635.0,13.0,"Tue, 06 Sep 2016 13:13:05  (-25.1d)",0.987028,Sankar Mukherjee,predicting-red-hat-business-value,,↓200,
636.0,6.0,"Sat, 13 Aug 2016 14:32:37  (-23.6h)",0.987028,Serhii,predicting-red-hat-business-value,,↓199,
637.0,1.0,"Fri, 12 Aug 2016 17:58:29",0.987028,Pavitrakumar,predicting-red-hat-business-value,,↓199,
638.0,1.0,"Sat, 13 Aug 2016 01:44:36",0.987028,Akila Wajirasena,predicting-red-hat-business-value,,↓198,
639.0,1.0,"Sat, 13 Aug 2016 03:57:50",0.987028,raghakot,predicting-red-hat-business-value,,↓198,
640.0,4.0,"Sat, 13 Aug 2016 12:25:07",0.987028,Taras,predicting-red-hat-business-value,,↓198,
641.0,4.0,"Sat, 13 Aug 2016 14:26:21",0.987028,PH13,predicting-red-hat-business-value,,↓198,
642.0,1.0,"Sat, 13 Aug 2016 15:25:50",0.987028,Yash Sinha,predicting-red-hat-business-value,,↓198,
643.0,7.0,"Sat, 13 Aug 2016 18:42:56",0.987028,Siarhei Vasilyeu,predicting-red-hat-business-value,,↓197,
644.0,10.0,"Sun, 21 Aug 2016 01:30:08  (-7.2d)",0.987028,LuisYu,predicting-red-hat-business-value,,↓197,
645.0,11.0,"Sun, 14 Aug 2016 22:53:42  (-26.2h)",0.987028,Iuga,predicting-red-hat-business-value,,↓197,
646.0,2.0,"Sun, 14 Aug 2016 03:50:59",0.987028,Chris J.T. Auld,predicting-red-hat-business-value,,↓197,
647.0,11.0,"Sun, 14 Aug 2016 09:17:01  (-0.1h)",0.987028,vivi.chen,predicting-red-hat-business-value,,↓197,
648.0,1.0,"Sun, 14 Aug 2016 09:52:05",0.987028,BlackCore,predicting-red-hat-business-value,,↓197,
649.0,4.0,"Sun, 14 Aug 2016 16:32:04  (-5.7h)",0.987028,Aadi,predicting-red-hat-business-value,,↓197,
650.0,1.0,"Sun, 14 Aug 2016 13:49:24",0.987028,Niranjan Singh,predicting-red-hat-business-value,,↓197,
651.0,3.0,"Thu, 25 Aug 2016 11:51:34  (-10.8d)",0.987028,KungFuPanda,predicting-red-hat-business-value,,↓197,
652.0,2.0,"Wed, 31 Aug 2016 17:27:23  (-16.9d)",0.987028,dbgriffith01,predicting-red-hat-business-value,,↓197,
653.0,32.0,"Mon, 05 Sep 2016 12:06:44  (-21.6d)",0.987028,Vasili Shushval,predicting-red-hat-business-value,,↓197,
654.0,5.0,"Sun, 14 Aug 2016 21:39:23",0.987028,Dayle S.,predicting-red-hat-business-value,,↓197,
655.0,13.0,"Mon, 15 Aug 2016 00:06:40  (-1.6h)",0.987028,leakciM,predicting-red-hat-business-value,,↓197,
656.0,1.0,"Mon, 15 Aug 2016 01:28:55",0.987028,Khan7,predicting-red-hat-business-value,,↓197,
657.0,7.0,"Mon, 15 Aug 2016 04:40:08",0.987028,Philip C (koheleth88),predicting-red-hat-business-value,,↓197,
658.0,5.0,"Mon, 15 Aug 2016 05:44:08",0.987028,Pan Wu,predicting-red-hat-business-value,,↓197,
659.0,2.0,"Mon, 15 Aug 2016 08:46:14",0.987028,leeming,predicting-red-hat-business-value,,↓197,
660.0,3.0,"Mon, 15 Aug 2016 08:57:59",0.987028,classyfire,predicting-red-hat-business-value,,↓197,
661.0,7.0,"Mon, 15 Aug 2016 09:28:49",0.987028,Prateek Singhal,predicting-red-hat-business-value,,↓197,
662.0,6.0,"Mon, 15 Aug 2016 10:10:16",0.987028,The_DarkLord,predicting-red-hat-business-value,,↓197,
663.0,7.0,"Thu, 01 Sep 2016 07:42:33  (-16.9d)",0.987028,Gaurav Singh Dangi,predicting-red-hat-business-value,,↓197,
664.0,13.0,"Fri, 09 Sep 2016 04:24:46  (-24.6d)",0.987028,Sachin Adnaik,predicting-red-hat-business-value,,↓197,
665.0,1.0,"Mon, 15 Aug 2016 19:56:54",0.987028,MichaelLanier,predicting-red-hat-business-value,,↓197,
666.0,1.0,"Mon, 15 Aug 2016 21:31:50",0.987028,kartik,predicting-red-hat-business-value,,↓197,
667.0,1.0,"Mon, 15 Aug 2016 22:00:38",0.987028,Maverick,predicting-red-hat-business-value,,↓197,
668.0,1.0,"Mon, 15 Aug 2016 22:14:34",0.987028,Miso,predicting-red-hat-business-value,,↓197,
669.0,3.0,"Tue, 16 Aug 2016 05:27:10  (-0.5h)",0.987028,Philip Mwagiru,predicting-red-hat-business-value,,↓196,
670.0,1.0,"Tue, 16 Aug 2016 04:57:05",0.987028,Isaac,predicting-red-hat-business-value,,↓196,
671.0,4.0,"Tue, 16 Aug 2016 05:16:15",0.987028,Ambareesh Prakash,predicting-red-hat-business-value,,↓196,
672.0,11.0,"Tue, 16 Aug 2016 05:24:54",0.987028,West Coast  system_error  Dishashree,predicting-red-hat-business-value,,↓196,
673.0,3.0,"Tue, 16 Aug 2016 06:28:40",0.987028,奥特曼仲舒,predicting-red-hat-business-value,,↓196,
674.0,6.0,"Tue, 16 Aug 2016 08:53:50",0.987028,Recco Miner,predicting-red-hat-business-value,,↓196,
675.0,2.0,"Tue, 06 Sep 2016 00:50:02  (-20.7d)",0.987028,LIN China,predicting-red-hat-business-value,,↓196,
676.0,20.0,"Sun, 21 Aug 2016 15:35:42  (-5.1d)",0.987028,DanielTröndle,predicting-red-hat-business-value,,↓196,
